,Profit
8569,5.04
23113,6.33
26945,273.56
6483,-276.12
29840,5.7
24663,3.78
16094,236.76
34176,-44.916
35420,26.4
28977,-62.1
23249,26.64
38499,-11.72
47112,-4.959
41265,25.792
46293,4.77
29818,-21.832
41703,-61.4655
4573,45.36
26864,7.04
29869,15.33
36061,2.79
29642,50.48
45156,-10.068
41103,6.36
26335,9.03
48989,3.45
147,839.986
32189,18.18
12179,20.7
5711,304.884
46672,13.44
27807,44.9775
28111,-338.94
16197,101.79
22181,29.88
41958,-2.1195
45747,-26.109
16726,50.22
24696,123.66
32884,20.844
31530,63.117
48623,4.1
38634,13.62
28431,93.594
1219,342.0
38666,1.256
14944,181.062
28455,58.86
7932,229.98
32401,7.92
12556,34.02
36449,6.69
13970,21.5928
3180,83.8858
13922,13.26
11429,239.976
19770,39.348
49171,3.12
27163,44.56
39402,17.85
23801,15.9936
262,49.2
42477,12.48
22716,4.275
9105,0.0
16342,5.175
7306,12.09
2767,3.72
43644,0.0
508,169.776
1640,391.35
18700,75.32
13312,-83.106
44038,22.08
15239,9.03
24637,2.52
4605,611.1
25087,-10.168
4229,12.12
43232,-2.5
14981,16.1096
26260,0.2
45805,-16.4496
23540,76.56
1030,33.48
11015,11.16
33221,1.999
1390,519.21
42831,8.94
4120,2.64
12843,1.28
27853,-76.68
42672,-5.7204
43433,-12.252
39158,4.5
32431,-5.568
43582,-22.17
4162,43.47
18558,-99.3453
41362,2.724
35329,13.92
26381,36.12
49463,-3.81
35571,6.999
44192,10.08
49361,3.42
12829,178.543
14707,14.772
44331,8.64
36043,2.2712
6542,488.1
46201,4.2
39074,2.04
30489,24.84
34705,31.68
27552,-58.797
7667,3.42
36481,-21.644
32163,-1.965
31322,47.55
27968,-10.704
1232,9.45
15257,-97.5528
36676,-8.24
22336,-97.092
27864,2.04
7915,-150.732
47334,-16.89
49404,0.559
34476,22.84
25327,-82.056
42469,3.285
47284,2.88
26226,27.3568
9647,23.7
2757,20.88
38844,30.15
21851,9.54
11247,19.08
1536,141.258
292,89.04
40836,-7.56
30895,-0.534
46316,-9.3
7638,137.04
15719,-59.4
13094,-87.1425
17516,20.415
35557,6.3
33802,-20.7162
13151,-97.176
40368,5.3964
26719,21.66
3564,8.76
31742,0.72
23725,3.99
16987,3.2392
17162,0.27
26452,46.98
10644,153.06
13413,7.512
29462,95.52
43649,1.54
36866,6.84
32207,54.234
15073,113.64
12123,1.96
44250,-4.188
19235,2.64
44045,29.0136
37416,35.28
43222,-12.864
42094,8.88
27488,47.9646
22868,-17.22
37736,2.16
708,1112.13
22541,130.77
33930,48.6
43094,15.96
43699,14.1426
6576,-24.332
32042,12.36
48165,-13.176
32396,3.4686
18310,17.52
199,13.3
2360,336.635
4772,17.04
38361,11.88
13082,40.23
18432,18.27
27576,17.55
6381,95.88
23141,-4.8609
43942,0.3
314,-1783.08
23975,-119.16
27816,7.41
19707,0.0
24199,129.12
45413,8.5728
7762,239.22
11497,20.52
36973,5.82
29707,4.98
27396,-5.3442
17904,155.68
26642,40.3704
14857,100.92
1122,24.8832
23868,23.8
16114,24.6
25177,-14.1372
31459,2.85
24602,-20.752
41995,0.6312
7298,8.685
26680,-4.544
45645,11.1664
36422,7.44
25490,3.8822
35824,29.4455
27296,19.824
25286,-1779.77
34336,19.7
40834,-28.65
11449,43.65
6420,10.8
16106,6.93
44443,3.2
42250,-21.672
21145,11.88
16420,137.844
8321,10.26
44040,-35.16
23571,23.212
9376,14.04
45696,-18.084
29066,86.25
850,49.5
24065,120.3
35128,31.4895
41749,13.04
26175,88.02
26561,6.2496
8745,11.58
24608,51.24
7321,-1.47
25859,-58.1742
29804,-64.4274
27998,-241.065
41359,2.88
47441,9.8406
31394,25.4744
33862,42.9
19380,11.376
21478,-20.6964
47425,6.9552
44103,9.84
36922,13.95
14222,67.56
18627,70.8
4119,0.0
46914,4.1769
1584,-9.492
2110,6.51
32554,3.44
4850,1.368
39917,13.455
15526,75.5958
6769,8.04
3035,317.16
25814,102.45
48722,-14.796
19431,5.37
28306,-261.336
2432,429.3
32845,19.5
25330,-51.165
1738,0.0
30770,41.1684
4962,96.8544
8530,-100.223
39377,9.3312
2441,-623.94
38528,9.36
37771,3.45
19475,-156.258
21679,-3.414
41451,-25.422
32417,117.6
34835,2.224
48818,5.9696
37985,3.12
26373,-89.099
22081,-86.3664
18716,54.24
44111,2.772
16971,-111.618
19261,0.0
20458,3.5767
9793,11.733
22587,-17.595
22532,46.5
8035,13.41
24664,26.73
35807,-48.9549
35614,-12.948
36190,-12.024
14695,0.0
30751,199.116
3154,-9.99
35786,-31.158
31424,-5.184
49612,1.3622
39815,13.572
7598,87.264
31902,1.168
725,51.15
39733,5.7
20777,47.7
